# This file contains raw data of the electoral college.

ID,Year,State,Votes
346,1812,Rhode Island,4
347,1812,South Carolina,11
348,1812,South Dakota,0
349,1812,Tennessee,8
350,1812,Texas,0
351,1812,Utah,0
352,1812,Vermont,8
353,1812,Virginia,25
354,1812,Washington,0
355,1812,West Virginia,0
356,1812,Wisconsin,0
357,1812,Wyoming,0
358,1816,Alabama,0
359,1816,Alaska,0
360,1816,Arizona,0
361,1816,Arkansas,0
362,1816,California,0
363,1816,Colorado,0
364,1816,Connecticut,9
365,1816,D.C.,0
366,1816,Delaware,4
367,1816,Florida,0
368,1816,Georgia,8
369,1816,Hawaii,0
370,1816,Idaho,0
371,1816,Illinois,0
372,1816,Indiana,3
373,1816,Iowa,0
374,1816,Kansas,0
375,1816,Kentucky,12
376,1816,Louisiana,3
377,1816,Maine,0
378,1816,Maryland,11
379,1816,Massachusetts,22
380,1816,Michigan,0
381,1816,Minnesota,0
382,1816,Mississippi,0
383,1816,Missouri,0
384,1816,Montana,0
385,1816,Nebraska,0
386,1816,Nevada,0
387,1816,New Hampshire,8
388,1816,New Jersey,8
389,1816,New Mexico,0
390,1816,New York,29
391,1816,North Carolina,15
392,1816,North Dakota,0
393,1816,Ohio,8
394,1816,Oklahoma,0
395,1816,Oregon,0
396,1816,Pennsylvania,25
397,1816,Rhode Island,4
398,1816,South Carolina,11
399,1816,South Dakota,0
400,1816,Tennessee,8
401,1816,Texas,0
402,1816,Utah,0
403,1816,Vermont,8
404,1816,Virginia,25
405,1816,Washington,0
406,1816,West Virginia,0
407,1816,Wisconsin,0
408,1816,Wyoming,0
409,1820,Alabama,3
410,1820,Alaska,0
411,1820,Arizona,0
412,1820,Arkansas,0
413,1820,California,0
414,1820,Colorado,0
415,1820,Connecticut,9
416,1820,D.C.,0
417,1820,Delaware,4
418,1820,Florida,0
419,1820,Georgia,8
420,1820,Hawaii,0
421,1820,Idaho,0
422,1820,Illinois,3
423,1820,Indiana,3
424,1820,Iowa,0
425,1820,Kansas,0
426,1820,Kentucky,12
427,1820,Louisiana,3
428,1820,Maine,9
429,1820,Maryland,11
430,1820,Massachusetts,15
431,1820,Michigan,0
432,1820,Minnesota,0
433,1820,Mississippi,3
434,1820,Missouri,3
435,1820,Montana,0
436,1820,Nebraska,0
437,1820,Nevada,0
438,1820,New Hampshire,8
439,1820,New Jersey,8
440,1820,New Mexico,0
441,1820,New York,29
442,1820,North Carolina,15
443,1820,North Dakota,0
444,1820,Ohio,8
445,1820,Oklahoma,0
446,1820,Oregon,0
447,1820,Pennsylvania,25
448,1820,Rhode Island,4
449,1820,South Carolina,11
450,1820,South Dakota,0
451,1820,Tennessee,8
452,1820,Texas,0
453,1820,Utah,0
454,1820,Vermont,8
455,1820,Virginia,25
456,1820,Washington,0
457,1820,West Virginia,0
458,1820,Wisconsin,0
459,1820,Wyoming,0
460,1824,Alabama,5
461,1824,Alaska,0
462,1824,Arizona,0
463,1824,Arkansas,0
464,1824,California,0
465,1824,Colorado,0
466,1824,Connecticut,8
467,1824,D.C.,0
468,1824,Delaware,3
469,1824,Florida,0
470,1824,Georgia,9
471,1824,Hawaii,0
472,1824,Idaho,0
473,1824,Illinois,3
474,1824,Indiana,5
475,1824,Iowa,0
476,1824,Kansas,0
477,1824,Kentucky,14
478,1824,Louisiana,5
479,1824,Maine,9
480,1824,Maryland,11
481,1824,Massachusetts,15
482,1824,Michigan,0
483,1824,Minnesota,0
484,1824,Mississippi,3
485,1824,Missouri,3
486,1824,Montana,0
487,1824,Nebraska,0
488,1824,Nevada,0
489,1824,New Hampshire,8
490,1824,New Jersey,8
491,1824,New Mexico,0
492,1824,New York,36
493,1824,North Carolina,15
494,1824,North Dakota,0
495,1824,Ohio,16
496,1824,Oklahoma,0
497,1824,Oregon,0
498,1824,Pennsylvania,28
499,1824,Rhode Island,4
500,1824,South Carolina,11
501,1824,South Dakota,0
502,1824,Tennessee,11
503,1824,Texas,0
504,1824,Utah,0
505,1824,Vermont,7
506,1824,Virginia,24
507,1824,Washington,0
508,1824,West Virginia,0
509,1824,Wisconsin,0
510,1824,Wyoming,0
511,1828,Alabama,5
512,1828,Alaska,0
513,1828,Arizona,0
514,1828,Arkansas,0
515,1828,California,0
516,1828,Colorado,0
517,1828,Connecticut,8
518,1828,D.C.,0
519,1828,Delaware,3
520,1828,Florida,0
521,1828,Georgia,9
522,1828,Hawaii,0
523,1828,Idaho,0
524,1828,Illinois,3
525,1828,Indiana,5
526,1828,Iowa,0
527,1828,Kansas,0
528,1828,Kentucky,14
529,1828,Louisiana,5
530,1828,Maine,9
531,1828,Maryland,11
532,1828,Massachusetts,15
533,1828,Michigan,0
534,1828,Minnesota,0
535,1828,Mississippi,3
536,1828,Missouri,3
537,1828,Montana,0
538,1828,Nebraska,0
539,1828,Nevada,0
540,1828,New Hampshire,8
541,1828,New Jersey,8
542,1828,New Mexico,0
543,1828,New York,36
544,1828,North Carolina,15
545,1828,North Dakota,0
546,1828,Ohio,16
547,1828,Oklahoma,0
548,1828,Oregon,0
549,1828,Pennsylvania,28
550,1828,Rhode Island,4
551,1828,South Carolina,11
552,1828,South Dakota,0
553,1828,Tennessee,11
554,1828,Texas,0
555,1828,Utah,0
556,1828,Vermont,7
557,1828,Virginia,24
558,1828,Washington,0
559,1828,West Virginia,0
560,1828,Wisconsin,0
561,1828,Wyoming,0
562,1832,Alabama,7
563,1832,Alaska,0
564,1832,Arizona,0
565,1832,Arkansas,0
566,1832,California,0
567,1832,Colorado,0
568,1832,Connecticut,8
569,1832,D.C.,0
570,1832,Delaware,3
571,1832,Florida,0
572,1832,Georgia,11
573,1832,Hawaii,0
574,1832,Idaho,0
575,1832,Illinois,5
576,1832,Indiana,9
577,1832,Iowa,0
578,1832,Kansas,0
579,1832,Kentucky,15
580,1832,Louisiana,5
581,1832,Maine,10
582,1832,Maryland,10
583,1832,Massachusetts,14
584,1832,Michigan,0
585,1832,Minnesota,0
586,1832,Mississippi,4
587,1832,Missouri,4
588,1832,Montana,0
589,1832,Nebraska,0
590,1832,Nevada,0
591,1832,New Hampshire,7
592,1832,New Jersey,8
593,1832,New Mexico,0
594,1832,New York,42
595,1832,North Carolina,15
596,1832,North Dakota,0
597,1832,Ohio,21
598,1832,Oklahoma,0
599,1832,Oregon,0
600,1832,Pennsylvania,30
601,1832,Rhode Island,4
602,1832,South Carolina,11
603,1832,South Dakota,0
604,1832,Tennessee,15
605,1832,Texas,0
606,1832,Utah,0
607,1832,Vermont,7
608,1832,Virginia,23
609,1832,Washington,0
610,1832,West Virginia,0
611,1832,Wisconsin,0
612,1832,Wyoming,0
613,1836,Alabama,7
614,1836,Alaska,0
615,1836,Arizona,0
616,1836,Arkansas,3
617,1836,California,0
618,1836,Colorado,0
619,1836,Connecticut,8
620,1836,D.C.,0
621,1836,Delaware,3
622,1836,Florida,0
623,1836,Georgia,11
624,1836,Hawaii,0
625,1836,Idaho,0
626,1836,Illinois,5
627,1836,Indiana,9
628,1836,Iowa,0
629,1836,Kansas,0
630,1836,Kentucky,15
631,1836,Louisiana,5
632,1836,Maine,10
633,1836,Maryland,10
634,1836,Massachusetts,14
635,1836,Michigan,3
636,1836,Minnesota,0
637,1836,Mississippi,4
638,1836,Missouri,4
639,1836,Montana,0
640,1836,Nebraska,0
641,1836,Nevada,0
642,1836,New Hampshire,7
643,1836,New Jersey,8
644,1836,New Mexico,0
645,1836,New York,42
646,1836,North Carolina,15
647,1836,North Dakota,0
648,1836,Ohio,21
